Time Step,Persistent RMSE,Prediction RMSE
1,0.1566203385591507,0.5188653469085693
2,0.7506130337715149,0.5216006636619568
3,0.8971062898635864,0.4313790202140808
4,0.7195832133293152,0.16082319617271423
5,0.6411474943161011,0.14151456952095032
6,0.9028457403182983,0.4223051965236664
7,1.0776362419128418,0.5646346211433411
8,1.2780139446258545,0.7370584011077881
9,1.41254723072052,0.8494157791137695
10,1.360544204711914,0.7892048954963684
11,1.563218116760254,0.9876255989074707
12,1.7239782810211182,1.1701958179473877
13,1.8059459924697876,1.2121226787567139
14,1.8625465631484985,1.321052074432373
